"Step","supervised_test_lr:0.00025 - svl_test/Loss/train","supervised_test_lr:0.00025 - svl_test/Loss/train__MIN","supervised_test_lr:0.00025 - svl_test/Loss/train__MAX","supervised_test_lr:1e-05 - svl_test/Loss/train","supervised_test_lr:1e-05 - svl_test/Loss/train__MIN","supervised_test_lr:1e-05 - svl_test/Loss/train__MAX","supervised_test_lr:5e-05 - svl_test/Loss/train","supervised_test_lr:5e-05 - svl_test/Loss/train__MIN","supervised_test_lr:5e-05 - svl_test/Loss/train__MAX","supervised_test_lr:0.0001 - svl_test/Loss/train","supervised_test_lr:0.0001 - svl_test/Loss/train__MIN","supervised_test_lr:0.0001 - svl_test/Loss/train__MAX","supervised_test_lr:0.0005 - svl_test/Loss/train","supervised_test_lr:0.0005 - svl_test/Loss/train__MIN","supervised_test_lr:0.0005 - svl_test/Loss/train__MAX"
"0","0.019603035296313465","0.019603035296313465","0.019603035296313465","0.07416951365303248","0.07416951365303248","0.07416951365303248","0.056721887997506805","0.056721887997506805","0.056721887997506805","0.029597065644338727","0.029597065644338727","0.029597065644338727","0.015750960233466078","0.015750960233466078","0.015750960233466078"
"1","0.010674564623817181","0.010674564623817181","0.010674564623817181","0.049513513183531664","0.049513513183531664","0.049513513183531664","0.02092738785237695","0.02092738785237695","0.02092738785237695","0.013055154122412205","0.013055154122412205","0.013055154122412205","0.00963000148961631","0.00963000148961631","0.00963000148961631"
"2","0.00965987024634766","0.00965987024634766","0.00965987024634766","0.037092804055040084","0.037092804055040084","0.037092804055040084","0.015271015824206794","0.015271015824206794","0.015271015824206794","0.011194794535792122","0.011194794535792122","0.011194794535792122","0.008867582500291368","0.008867582500291368","0.008867582500291368"
"3","0.00909452781585666","0.00909452781585666","0.00909452781585666","0.029680752893909812","0.029680752893909812","0.029680752893909812","0.013146322239966443","0.013146322239966443","0.013146322239966443","0.01028841508862873","0.01028841508862873","0.01028841508862873","0.008452268142718822","0.008452268142718822","0.008452268142718822"
"4","0.008744069549720734","0.008744069549720734","0.008744069549720734","0.025024732613625627","0.025024732613625627","0.025024732613625627","0.011971143054931114","0.011971143054931114","0.011971143054931114","0.009772794146556407","0.009772794146556407","0.009772794146556407","0.00819666743821775","0.00819666743821775","0.00819666743821775"
"5","0.008480345733308544","0.008480345733308544","0.008480345733308544","0.021889527134286862","0.021889527134286862","0.021889527134286862","0.011234408836268509","0.011234408836268509","0.011234408836268509","0.009407207942179715","0.009407207942179715","0.009407207942179715","0.007988721064369505","0.007988721064369505","0.007988721064369505"
"6","0.00828608363129509","0.00828608363129509","0.00828608363129509","0.019719518604688346","0.019719518604688346","0.019719518604688346","0.010716930497437716","0.010716930497437716","0.010716930497437716","0.009153332279917473","0.009153332279917473","0.009153332279917473","0.007827771090281507","0.007827771090281507","0.007827771090281507"
"7","0.00812947167044816","0.00812947167044816","0.00812947167044816","0.018127945193555206","0.018127945193555206","0.018127945193555206","0.010318642938121533","0.010318642938121533","0.010318642938121533","0.0089576901421727","0.0089576901421727","0.0089576901421727","0.007696668661083095","0.007696668661083095","0.007696668661083095"
"8","0.008005711298513537","0.008005711298513537","0.008005711298513537","0.016920729423873127","0.016920729423873127","0.016920729423873127","0.01001499075209722","0.01001499075209722","0.01001499075209722","0.008787738440635925","0.008787738440635925","0.008787738440635925","0.007584063894076583","0.007584063894076583","0.007584063894076583"
"9","0.007902953943509297","0.007902953943509297","0.007902953943509297","0.015992604797550786","0.015992604797550786","0.015992604797550786","0.009772419968309501","0.009772419968309501","0.009772419968309501","0.008655475995813807","0.008655475995813807","0.008655475995813807","0.007506973619456403","0.007506973619456403","0.007506973619456403"
"10","0.007790681556798518","0.007790681556798518","0.007790681556798518","0.015234447491820902","0.015234447491820902","0.015234447491820902","0.009558094112435356","0.009558094112435356","0.009558094112435356","0.008541062580964839","0.008541062580964839","0.008541062580964839","0.007378074806183577","0.007378074806183577","0.007378074806183577"
"11","0.007701076984327908","0.007701076984327908","0.007701076984327908","0.014610966919766119","0.014610966919766119","0.014610966919766119","0.009395174788854396","0.009395174788854396","0.009395174788854396","0.008418285414033258","0.008418285414033258","0.008418285414033258","0.007291385923357059","0.007291385923357059","0.007291385923357059"
"12","0.007626992388395593","0.007626992388395593","0.007626992388395593","0.014087798626860604","0.014087798626860604","0.014087798626860604","0.009247876645531505","0.009247876645531505","0.009247876645531505","0.008327291861254102","0.008327291861254102","0.008327291861254102","0.007223901479543808","0.007223901479543808","0.007223901479543808"
"13","0.007561432600292998","0.007561432600292998","0.007561432600292998","0.013686070102266967","0.013686070102266967","0.013686070102266967","0.009126211322533587","0.009126211322533587","0.009126211322533587","0.008234412389962623","0.008234412389962623","0.008234412389962623","0.007150842386181466","0.007150842386181466","0.007150842386181466"
"14","0.0074912800240175175","0.0074912800240175175","0.0074912800240175175","0.013281906120634327","0.013281906120634327","0.013281906120634327","0.009019533696118742","0.009019533696118742","0.009019533696118742","0.008154845418175682","0.008154845418175682","0.008154845418175682","0.007074485363167089","0.007074485363167089","0.007074485363167089"
"15","0.00743037743086461","0.00743037743086461","0.00743037743086461","0.012967019972469037","0.012967019972469037","0.012967019972469037","0.008903891536950445","0.008903891536950445","0.008903891536950445","0.008084186711736644","0.008084186711736644","0.008084186711736644","0.007012222534588848","0.007012222534588848","0.007012222534588848"
"16","0.007374786344977717","0.007374786344977717","0.007374786344977717","0.012668252097986018","0.012668252097986018","0.012668252097986018","0.008821598972038677","0.008821598972038677","0.008821598972038677","0.008014593472277435","0.008014593472277435","0.008014593472277435","0.006954866277131562","0.006954866277131562","0.006954866277131562"
"17","0.007306781209384401","0.007306781209384401","0.007306781209384401","0.012393398074588427","0.012393398074588427","0.012393398074588427","0.008741454725774625","0.008741454725774625","0.008741454725774625","0.007942180663424855","0.007942180663424855","0.007942180663424855","0.006894104022649117","0.006894104022649117","0.006894104022649117"
"18","0.007259162521222606","0.007259162521222606","0.007259162521222606","0.012160441256128252","0.012160441256128252","0.012160441256128252","0.008665815985295922","0.008665815985295922","0.008665815985295922","0.007890731586182179","0.007890731586182179","0.007890731586182179","0.006833032801902543","0.006833032801902543","0.006833032801902543"
"19","0.007212845370910752","0.007212845370910752","0.007212845370910752","0.011958485702052712","0.011958485702052712","0.011958485702052712","0.008586419591059288","0.008586419591059288","0.008586419591059288","0.00783466296949579","0.00783466296949579","0.00783466296949579","0.006779672223880577","0.006779672223880577","0.006779672223880577"
"20","0.007170631273766048","0.007170631273766048","0.007170631273766048","0.011787713592639193","0.011787713592639193","0.011787713592639193","0.008521411761951944","0.008521411761951944","0.008521411761951944","0.007784552125182624","0.007784552125182624","0.007784552125182624","0.006740887756071364","0.006740887756071364","0.006740887756071364"
"21","0.007114713841777605","0.007114713841777605","0.007114713841777605","0.011597838883365815","0.011597838883365815","0.011597838883365815","0.008456148876575753","0.008456148876575753","0.008456148876575753","0.0077310143581901985","0.0077310143581901985","0.0077310143581901985","0.006681854826941465","0.006681854826941465","0.006681854826941465"
"22","0.007073561854970952","0.007073561854970952","0.007073561854970952","0.011440534852833176","0.011440534852833176","0.011440534852833176","0.008404060810183486","0.008404060810183486","0.008404060810183486","0.007687594935608407","0.007687594935608407","0.007687594935608407","0.006637796201781991","0.006637796201781991","0.006637796201781991"
"23","0.007024370497674681","0.007024370497674681","0.007024370497674681","0.011280354083282873","0.011280354083282873","0.011280354083282873","0.008349379058927298","0.008349379058927298","0.008349379058927298","0.0076372609376752125","0.0076372609376752125","0.0076372609376752125","0.006589846370237258","0.006589846370237258","0.006589846370237258"
"24","0.00698260216449853","0.00698260216449853","0.00698260216449853","0.011145126142461473","0.011145126142461473","0.011145126142461473","0.00829367822734639","0.00829367822734639","0.00829367822734639","0.00760097018792294","0.00760097018792294","0.00760097018792294","0.006562395113481519","0.006562395113481519","0.006562395113481519"
"25","0.006940166640561074","0.006940166640561074","0.006940166640561074","0.01100667635910213","0.01100667635910213","0.01100667635910213","0.00823294929189918","0.00823294929189918","0.00823294929189918","0.007563189724654269","0.007563189724654269","0.007563189724654269","0.006513186371497189","0.006513186371497189","0.006513186371497189"
"26","0.006892081864255791","0.006892081864255791","0.006892081864255791","0.010885703639360145","0.010885703639360145","0.010885703639360145","0.008188397128833458","0.008188397128833458","0.008188397128833458","0.007518300020213549","0.007518300020213549","0.007518300020213549","0.00646924962347839","0.00646924962347839","0.00646924962347839"
"27","0.00685694952456591","0.00685694952456591","0.00685694952456591","0.010767641506390646","0.010767641506390646","0.010767641506390646","0.00813733737838144","0.00813733737838144","0.00813733737838144","0.007481784326955676","0.007481784326955676","0.007481784326955676","0.0064357216518449905","0.0064357216518449905","0.0064357216518449905"
"28","0.006825604990202312","0.006825604990202312","0.006825604990202312","0.010659004018331567","0.010659004018331567","0.010659004018331567","0.008100126355808849","0.008100126355808849","0.008100126355808849","0.007443012863708039","0.007443012863708039","0.007443012863708039","0.0063941356832704814","0.0063941356832704814","0.0063941356832704814"
"29","0.006767767530012255","0.006767767530012255","0.006767767530012255","0.010548414090105021","0.010548414090105021","0.010548414090105021","0.008055372149101458","0.008055372149101458","0.008055372149101458","0.007412577120703645","0.007412577120703645","0.007412577120703645","0.00635064989910461","0.00635064989910461","0.00635064989910461"
"30","0.006749118605512194","0.006749118605512194","0.006749118605512194","0.010461264309318116","0.010461264309318116","0.010461264309318116","0.008012641138824014","0.008012641138824014","0.008012641138824014","0.007384771486006987","0.007384771486006987","0.007384771486006987","0.006330218709384401","0.006330218709384401","0.006330218709384401"
"31","0.006717886445888628","0.006717886445888628","0.006717886445888628","0.010375339508755133","0.010375339508755133","0.010375339508755133","0.00797834560701934","0.00797834560701934","0.00797834560701934","0.007348343511694111","0.007348343511694111","0.007348343511694111","0.0063061624629578246","0.0063061624629578246","0.0063061624629578246"
"32","0.006681768116929258","0.006681768116929258","0.006681768116929258","0.010271204926539212","0.010271204926539212","0.010271204926539212","0.007942236906577213","0.007942236906577213","0.007942236906577213","0.007325774121757907","0.007325774121757907","0.007325774121757907","0.006250771844255117","0.006250771844255117","0.006250771844255117"
"33","0.006654965356574394","0.006654965356574394","0.006654965356574394","0.01019066798229081","0.01019066798229081","0.01019066798229081","0.007897911190714998","0.007897911190714998","0.007897911190714998","0.007297686335126248","0.007297686335126248","0.007297686335126248","0.006235005629908604","0.006235005629908604","0.006235005629908604"
"34","0.006621411540739548","0.006621411540739548","0.006621411540739548","0.010114643325020248","0.010114643325020248","0.010114643325020248","0.007866231322016878","0.007866231322016878","0.007866231322016878","0.007261858142252701","0.007261858142252701","0.007261858142252701","0.006208908399761033","0.006208908399761033","0.006208908399761033"
"35","0.006593078045019259","0.006593078045019259","0.006593078045019259","0.010045934565520534","0.010045934565520534","0.010045934565520534","0.007829676615074277","0.007829676615074277","0.007829676615074277","0.007227273337775841","0.007227273337775841","0.007227273337775841","0.0061775479261996225","0.0061775479261996225","0.0061775479261996225"
"36","0.006562837501405738","0.006562837501405738","0.006562837501405738","0.009958799734401206","0.009958799734401206","0.009958799734401206","0.007792868801819471","0.007792868801819471","0.007792868801819471","0.007199918880360201","0.007199918880360201","0.007199918880360201","0.006149817942059599","0.006149817942059599","0.006149817942059599"
"37","0.0065294902548581986","0.0065294902548581986","0.0065294902548581986","0.009885054780170321","0.009885054780170321","0.009885054780170321","0.0077600809988022474","0.0077600809988022474","0.0077600809988022474","0.00717578920982002","0.00717578920982002","0.00717578920982002","0.006124350868049078","0.006124350868049078","0.006124350868049078"
"38","0.006505627621663734","0.006505627621663734","0.006505627621663734","0.009822914920126399","0.009822914920126399","0.009822914920126399","0.00773084558507738","0.00773084558507738","0.00773084558507738","0.0071500974978941185","0.0071500974978941185","0.0071500974978941185","0.006085964855932009","0.006085964855932009","0.006085964855932009"
"39","0.006478902481224698","0.006478902481224698","0.006478902481224698","0.009753744641784579","0.009753744641784579","0.009753744641784579","0.007708611175379095","0.007708611175379095","0.007708611175379095","0.007127889063364516","0.007127889063364516","0.007127889063364516","0.006065573776140809","0.006065573776140809","0.006065573776140809"
"40","0.00645417540120737","0.00645417540120737","0.00645417540120737","0.00969305619946681","0.00969305619946681","0.00969305619946681","0.007675700374723722","0.007675700374723722","0.007675700374723722","0.007098029906046577","0.007098029906046577","0.007098029906046577","0.006046383370024462","0.006046383370024462","0.006046383370024462"
