"Step","UnsupervisedLearning1 - Loss/train","UnsupervisedLearning1 - Loss/train__MIN","UnsupervisedLearning1 - Loss/train__MAX"
"0","-12.444991201162338","-12.444991201162338","-12.444991201162338"
"1","-12.453408569097519","-12.453408569097519","-12.453408569097519"
"2","-12.569438378016153","-12.569438378016153","-12.569438378016153"
"3","-12.622472534577051","-12.622472534577051","-12.622472534577051"
"4","-12.646924366553625","-12.646924366553625","-12.646924366553625"
"5","-12.667450855175654","-12.667450855175654","-12.667450855175654"
"6","-12.687800993522009","-12.687800993522009","-12.687800993522009"
"7","-12.68958360950152","-12.68958360950152","-12.68958360950152"
"8","-12.699618409077326","-12.699618409077326","-12.699618409077326"
"9","-12.712843010822931","-12.712843010822931","-12.712843010822931"
"10","-12.700146694978079","-12.700146694978079","-12.700146694978079"
"11","-12.709771831830343","-12.709771831830343","-12.709771831830343"
"12","-12.716792096694311","-12.716792096694311","-12.716792096694311"
"13","-12.710054904222488","-12.710054904222488","-12.710054904222488"
"14","-12.721436401208242","-12.721436401208242","-12.721436401208242"
"15","-12.72838826974233","-12.72838826974233","-12.72838826974233"
"16","-12.725553204615911","-12.725553204615911","-12.725553204615911"
"17","-12.73571831981341","-12.73571831981341","-12.73571831981341"
"18","-12.731508235136667","-12.731508235136667","-12.731508235136667"
"19","-12.729987939198812","-12.729987939198812","-12.729987939198812"
"20","-12.727181067069372","-12.727181067069372","-12.727181067069372"
"21","-12.723285456498465","-12.723285456498465","-12.723285456498465"
"22","-12.729324777921041","-12.729324777921041","-12.729324777921041"
"23","-12.739605019489924","-12.739605019489924","-12.739605019489924"
"24","-12.743197053670883","-12.743197053670883","-12.743197053670883"
"25","-12.750524987777075","-12.750524987777075","-12.750524987777075"
"26","-12.738602528969446","-12.738602528969446","-12.738602528969446"
"27","-12.748655160268148","-12.748655160268148","-12.748655160268148"
"28","-12.739790141582489","-12.739790141582489","-12.739790141582489"
"29","-12.742731799681982","-12.742731799681982","-12.742731799681982"
"30","-12.735957463582357","-12.735957463582357","-12.735957463582357"
"31","-12.733573933442434","-12.733573933442434","-12.733573933442434"
"32","-12.74478534857432","-12.74478534857432","-12.74478534857432"
"33","-12.742880324522654","-12.742880324522654","-12.742880324522654"
"34","-12.748272776603699","-12.748272776603699","-12.748272776603699"
"35","-12.750952343146006","-12.750952343146006","-12.750952343146006"
"36","-12.750067720810572","-12.750067720810572","-12.750067720810572"
"37","-12.761200964450836","-12.761200964450836","-12.761200964450836"
"38","-12.754258116086325","-12.754258116086325","-12.754258116086325"
"39","-12.746886422236761","-12.746886422236761","-12.746886422236761"
"40","-12.744938204685846","-12.744938204685846","-12.744938204685846"
"41","-12.752553900082907","-12.752553900082907","-12.752553900082907"
"42","-12.758230894804","-12.758230894804","-12.758230894804"
"43","-12.754431148370108","-12.754431148370108","-12.754431148370108"
"44","-12.756850073734919","-12.756850073734919","-12.756850073734919"
"45","-12.76283860206604","-12.76283860206604","-12.76283860206604"
"46","-12.767041464646658","-12.767041464646658","-12.767041464646658"
"47","-12.764455179373423","-12.764455179373423","-12.764455179373423"
"48","-12.745153139034906","-12.745153139034906","-12.745153139034906"
"49","-12.767399688561758","-12.767399688561758","-12.767399688561758"
"50","-12.763387421766916","-12.763387421766916","-12.763387421766916"
"51","-12.754079163074493","-12.754079163074493","-12.754079163074493"
"52","-12.75573522845904","-12.75573522845904","-12.75573522845904"
"53","-12.754612396160761","-12.754612396160761","-12.754612396160761"
"54","-12.763212660948435","-12.763212660948435","-12.763212660948435"
"55","-12.763429552316666","-12.763429552316666","-12.763429552316666"
"56","-12.75790705283483","-12.75790705283483","-12.75790705283483"
"57","-12.75804834564527","-12.75804834564527","-12.75804834564527"
"58","-12.76214842001597","-12.76214842001597","-12.76214842001597"
"59","-12.767246822516123","-12.767246822516123","-12.767246822516123"
"60","-12.76396115620931","-12.76396115620931","-12.76396115620931"
"61","-12.759335021177927","-12.759335021177927","-12.759335021177927"
"62","-12.766722699006399","-12.766722699006399","-12.766722699006399"
"63","-12.758080859978994","-12.758080859978994","-12.758080859978994"
"64","-12.762183954318365","-12.762183954318365","-12.762183954318365"
"65","-12.771730293830236","-12.771730293830236","-12.771730293830236"
"66","-12.77475611368815","-12.77475611368815","-12.77475611368815"
"67","-12.767419745524725","-12.767419745524725","-12.767419745524725"
"68","-12.773960381746292","-12.773960381746292","-12.773960381746292"
"69","-12.772082448005676","-12.772082448005676","-12.772082448005676"
"70","-12.777790149052938","-12.777790149052938","-12.777790149052938"
"71","-12.781947910785675","-12.781947910785675","-12.781947910785675"
"72","-12.776740948359171","-12.776740948359171","-12.776740948359171"
"73","-12.775020360946655","-12.775020360946655","-12.775020360946655"
"74","-12.773882945378622","-12.773882945378622","-12.773882945378622"
"75","-12.769829968611399","-12.769829968611399","-12.769829968611399"
"76","-12.77229255437851","-12.77229255437851","-12.77229255437851"
"77","-12.765988975763321","-12.765988975763321","-12.765988975763321"
"78","-12.766695529222488","-12.766695529222488","-12.766695529222488"
"79","-12.776574571927389","-12.776574571927389","-12.776574571927389"
"80","-12.76864751180013","-12.76864751180013","-12.76864751180013"
"81","-12.768528381983439","-12.768528381983439","-12.768528381983439"
"82","-12.769190669059753","-12.769190669059753","-12.769190669059753"
"83","-12.774127433697382","-12.774127433697382","-12.774127433697382"
