"Step","UnsupervisedLearning1 - Loss/val","UnsupervisedLearning1 - Loss/val__MIN","UnsupervisedLearning1 - Loss/val__MAX"
"0","-12.447668224573135","-12.447668224573135","-12.447668224573135"
"1","-12.502001702785492","-12.502001702785492","-12.502001702785492"
"2","-12.605092465877533","-12.605092465877533","-12.605092465877533"
"3","-12.660548359155655","-12.660548359155655","-12.660548359155655"
"4","-12.649378418922424","-12.649378418922424","-12.649378418922424"
"5","-12.69208225607872","-12.69208225607872","-12.69208225607872"
"6","-12.698688358068466","-12.698688358068466","-12.698688358068466"
"7","-12.704006642103195","-12.704006642103195","-12.704006642103195"
"8","-12.717930167913437","-12.717930167913437","-12.717930167913437"
"9","-12.717682182788849","-12.717682182788849","-12.717682182788849"
"10","-12.71959924697876","-12.71959924697876","-12.71959924697876"
"11","-12.717292159795761","-12.717292159795761","-12.717292159795761"
"12","-12.734231740236282","-12.734231740236282","-12.734231740236282"
"13","-12.732352465391159","-12.732352465391159","-12.732352465391159"
"14","-12.728301763534546","-12.728301763534546","-12.728301763534546"
"15","-12.729743033647537","-12.729743033647537","-12.729743033647537"
"16","-12.734617620706558","-12.734617620706558","-12.734617620706558"
"17","-12.765159845352173","-12.765159845352173","-12.765159845352173"
"18","-12.735881000757217","-12.735881000757217","-12.735881000757217"
"19","-12.74969533085823","-12.74969533085823","-12.74969533085823"
"20","-12.733878999948502","-12.733878999948502","-12.733878999948502"
"21","-12.738131403923035","-12.738131403923035","-12.738131403923035"
"22","-12.733656018972397","-12.733656018972397","-12.733656018972397"
"23","-12.755501449108124","-12.755501449108124","-12.755501449108124"
"24","-12.75918135046959","-12.75918135046959","-12.75918135046959"
"25","-12.749199479818344","-12.749199479818344","-12.749199479818344"
"26","-12.75062221288681","-12.75062221288681","-12.75062221288681"
"27","-12.76413643360138","-12.76413643360138","-12.76413643360138"
"28","-12.754193812608719","-12.754193812608719","-12.754193812608719"
"29","-12.761147737503052","-12.761147737503052","-12.761147737503052"
"30","-12.727603256702423","-12.727603256702423","-12.727603256702423"
"31","-12.754564672708511","-12.754564672708511","-12.754564672708511"
"32","-12.758577316999435","-12.758577316999435","-12.758577316999435"
"33","-12.76021146774292","-12.76021146774292","-12.76021146774292"
"34","-12.772519797086716","-12.772519797086716","-12.772519797086716"
"35","-12.760165363550186","-12.760165363550186","-12.760165363550186"
"36","-12.767972558736801","-12.767972558736801","-12.767972558736801"
"37","-12.764927715063095","-12.764927715063095","-12.764927715063095"
"38","-12.765701472759247","-12.765701472759247","-12.765701472759247"
"39","-12.756791919469833","-12.756791919469833","-12.756791919469833"
"40","-12.770391762256622","-12.770391762256622","-12.770391762256622"
"41","-12.764333993196487","-12.764333993196487","-12.764333993196487"
"42","-12.75978934764862","-12.75978934764862","-12.75978934764862"
"43","-12.77796396613121","-12.77796396613121","-12.77796396613121"
"44","-12.7760109603405","-12.7760109603405","-12.7760109603405"
"45","-12.779885560274124","-12.779885560274124","-12.779885560274124"
"46","-12.785351186990738","-12.785351186990738","-12.785351186990738"
"47","-12.76514557003975","-12.76514557003975","-12.76514557003975"
"48","-12.770763128995895","-12.770763128995895","-12.770763128995895"
"49","-12.781147330999374","-12.781147330999374","-12.781147330999374"
"50","-12.770755171775818","-12.770755171775818","-12.770755171775818"
"51","-12.776330173015594","-12.776330173015594","-12.776330173015594"
"52","-12.76860585808754","-12.76860585808754","-12.76860585808754"
"53","-12.76318284869194","-12.76318284869194","-12.76318284869194"
"54","-12.77955573797226","-12.77955573797226","-12.77955573797226"
"55","-12.777961790561676","-12.777961790561676","-12.777961790561676"
"56","-12.77965572476387","-12.77965572476387","-12.77965572476387"
"57","-12.765347421169281","-12.765347421169281","-12.765347421169281"
"58","-12.763147860765457","-12.763147860765457","-12.763147860765457"
"59","-12.777230650186539","-12.777230650186539","-12.777230650186539"
"60","-12.783899694681168","-12.783899694681168","-12.783899694681168"
"61","-12.779220670461655","-12.779220670461655","-12.779220670461655"
"62","-12.785460650920868","-12.785460650920868","-12.785460650920868"
"63","-12.77378997206688","-12.77378997206688","-12.77378997206688"
"64","-12.779793113470078","-12.779793113470078","-12.779793113470078"
"65","-12.787350118160248","-12.787350118160248","-12.787350118160248"
"66","-12.778618901968002","-12.778618901968002","-12.778618901968002"
"67","-12.787190109491348","-12.787190109491348","-12.787190109491348"
"68","-12.786464005708694","-12.786464005708694","-12.786464005708694"
"69","-12.789248675107956","-12.789248675107956","-12.789248675107956"
"70","-12.79697960615158","-12.79697960615158","-12.79697960615158"
"71","-12.7945117354393","-12.7945117354393","-12.7945117354393"
"72","-12.788650900125504","-12.788650900125504","-12.788650900125504"
"73","-12.790121674537659","-12.790121674537659","-12.790121674537659"
"74","-12.777264535427094","-12.777264535427094","-12.777264535427094"
"75","-12.791044473648071","-12.791044473648071","-12.791044473648071"
"76","-12.783535987138748","-12.783535987138748","-12.783535987138748"
"77","-12.76614174246788","-12.76614174246788","-12.76614174246788"
"78","-12.791659235954285","-12.791659235954285","-12.791659235954285"
"79","-12.789396435022354","-12.789396435022354","-12.789396435022354"
"80","-12.779533743858337","-12.779533743858337","-12.779533743858337"
"81","-12.782594412565231","-12.782594412565231","-12.782594412565231"
"82","-12.772502303123474","-12.772502303123474","-12.772502303123474"
"83","-12.778460800647736","-12.778460800647736","-12.778460800647736"
"84","-12.792446076869965","-12.792446076869965","-12.792446076869965"
"85","-12.801801323890686","-12.801801323890686","-12.801801323890686"
"86","-12.804557353258133","-12.804557353258133","-12.804557353258133"
"87","-12.794124960899353","-12.794124960899353","-12.794124960899353"
"88","-12.795338332653046","-12.795338332653046","-12.795338332653046"
"89","-12.798258244991302","-12.798258244991302","-12.798258244991302"
"90","-12.800994783639908","-12.800994783639908","-12.800994783639908"
"91","-12.782330691814423","-12.782330691814423","-12.782330691814423"
"92","-12.8037368953228","-12.8037368953228","-12.8037368953228"
"93","-12.800076872110367","-12.800076872110367","-12.800076872110367"
"94","-12.804005205631256","-12.804005205631256","-12.804005205631256"
"95","-12.809424042701721","-12.809424042701721","-12.809424042701721"
"96","-12.804666101932526","-12.804666101932526","-12.804666101932526"
"97","-12.801131814718246","-12.801131814718246","-12.801131814718246"
"98","-12.799108505249023","-12.799108505249023","-12.799108505249023"
"99","-12.787062853574753","-12.787062853574753","-12.787062853574753"
"100","-12.805836617946625","-12.805836617946625","-12.805836617946625"
"101","-12.811220169067383","-12.811220169067383","-12.811220169067383"
"102","-12.814238965511322","-12.814238965511322","-12.814238965511322"
"103","-12.809828490018845","-12.809828490018845","-12.809828490018845"
"104","-12.809203416109085","-12.809203416109085","-12.809203416109085"
"105","-12.810567945241928","-12.810567945241928","-12.810567945241928"
"106","-12.809300124645233","-12.809300124645233","-12.809300124645233"
"107","-12.806534588336945","-12.806534588336945","-12.806534588336945"
"108","-12.812522411346436","-12.812522411346436","-12.812522411346436"
"109","-12.810619950294495","-12.810619950294495","-12.810619950294495"
"110","-12.809780865907669","-12.809780865907669","-12.809780865907669"
"111","-12.808974266052246","-12.808974266052246","-12.808974266052246"
"112","-12.799549251794815","-12.799549251794815","-12.799549251794815"
"113","-12.811470836400986","-12.811470836400986","-12.811470836400986"
"114","-12.80750322341919","-12.80750322341919","-12.80750322341919"
"115","-12.806840300559998","-12.806840300559998","-12.806840300559998"
"116","-12.802096605300903","-12.802096605300903","-12.802096605300903"
"117","-12.814359605312347","-12.814359605312347","-12.814359605312347"
"118","-12.79898265004158","-12.79898265004158","-12.79898265004158"
"119","-12.816911786794662","-12.816911786794662","-12.816911786794662"
"120","-12.815061211585999","-12.815061211585999","-12.815061211585999"
"121","-12.815384477376938","-12.815384477376938","-12.815384477376938"
"122","-12.808975905179977","-12.808975905179977","-12.808975905179977"
"123","-12.818391859531403","-12.818391859531403","-12.818391859531403"
"124","-12.822009772062302","-12.822009772062302","-12.822009772062302"
"125","-12.822980046272278","-12.822980046272278","-12.822980046272278"
"126","-12.823328405618668","-12.823328405618668","-12.823328405618668"
"127","-12.825170695781708","-12.825170695781708","-12.825170695781708"
"128","-12.817512720823288","-12.817512720823288","-12.817512720823288"
"129","-12.818699598312378","-12.818699598312378","-12.818699598312378"
"130","-12.822638273239136","-12.822638273239136","-12.822638273239136"
"131","-12.82952082157135","-12.82952082157135","-12.82952082157135"
"132","-12.827081561088562","-12.827081561088562","-12.827081561088562"
"133","-12.81409165263176","-12.81409165263176","-12.81409165263176"
"134","-12.831478476524353","-12.831478476524353","-12.831478476524353"
"135","-12.82532599568367","-12.82532599568367","-12.82532599568367"
"136","-12.829790204763412","-12.829790204763412","-12.829790204763412"
"137","-12.82638904452324","-12.82638904452324","-12.82638904452324"
"138","-12.828311085700989","-12.828311085700989","-12.828311085700989"
"139","-12.819933772087097","-12.819933772087097","-12.819933772087097"
"140","-12.808230131864548","-12.808230131864548","-12.808230131864548"
"141","-12.819801032543182","-12.819801032543182","-12.819801032543182"
"142","-12.824216037988663","-12.824216037988663","-12.824216037988663"
"143","-12.823745459318161","-12.823745459318161","-12.823745459318161"
"144","-12.82743775844574","-12.82743775844574","-12.82743775844574"
"145","-12.823413729667664","-12.823413729667664","-12.823413729667664"
"146","-12.82771909236908","-12.82771909236908","-12.82771909236908"
"147","-12.82077407836914","-12.82077407836914","-12.82077407836914"
"148","-12.825614035129547","-12.825614035129547","-12.825614035129547"
"149","-12.831339448690414","-12.831339448690414","-12.831339448690414"
"150","-12.832622021436691","-12.832622021436691","-12.832622021436691"
"151","-12.822086870670319","-12.822086870670319","-12.822086870670319"
"152","-12.832273215055466","-12.832273215055466","-12.832273215055466"
"153","-12.834030836820602","-12.834030836820602","-12.834030836820602"
"154","-12.82908234000206","-12.82908234000206","-12.82908234000206"
"155","-12.82932460308075","-12.82932460308075","-12.82932460308075"
"156","-12.837754786014557","-12.837754786014557","-12.837754786014557"
"157","-12.841781705617905","-12.841781705617905","-12.841781705617905"
"158","-12.835521817207336","-12.835521817207336","-12.835521817207336"
"159","-12.831610292196274","-12.831610292196274","-12.831610292196274"
"160","-12.82018581032753","-12.82018581032753","-12.82018581032753"
"161","-12.83632105588913","-12.83632105588913","-12.83632105588913"
"162","-12.839507788419724","-12.839507788419724","-12.839507788419724"
"163","-12.834970593452454","-12.834970593452454","-12.834970593452454"
"164","-12.826505720615387","-12.826505720615387","-12.826505720615387"
"165","-12.8292755484581","-12.8292755484581","-12.8292755484581"
"166","-12.83232095837593","-12.83232095837593","-12.83232095837593"
"167","-12.8332938849926","-12.8332938849926","-12.8332938849926"
"168","-12.841165572404861","-12.841165572404861","-12.841165572404861"
"169","-12.839934766292572","-12.839934766292572","-12.839934766292572"
"170","-12.836034834384918","-12.836034834384918","-12.836034834384918"
"171","-12.840999364852905","-12.840999364852905","-12.840999364852905"
"172","-12.83891361951828","-12.83891361951828","-12.83891361951828"
"173","-12.823665052652359","-12.823665052652359","-12.823665052652359"
"174","-12.82091635465622","-12.82091635465622","-12.82091635465622"
"175","-12.81717437505722","-12.81717437505722","-12.81717437505722"
"176","-12.822560220956802","-12.822560220956802","-12.822560220956802"
"177","-12.830905884504318","-12.830905884504318","-12.830905884504318"
"178","-12.830672204494476","-12.830672204494476","-12.830672204494476"
"179","-12.82290917634964","-12.82290917634964","-12.82290917634964"
"180","-12.838377088308334","-12.838377088308334","-12.838377088308334"
"181","-12.832852482795715","-12.832852482795715","-12.832852482795715"
"182","-12.836198031902313","-12.836198031902313","-12.836198031902313"
"183","-12.841599225997925","-12.841599225997925","-12.841599225997925"
"184","-12.84100940823555","-12.84100940823555","-12.84100940823555"
"185","-12.840481013059616","-12.840481013059616","-12.840481013059616"
"186","-12.832476019859314","-12.832476019859314","-12.832476019859314"
"187","-12.840405225753784","-12.840405225753784","-12.840405225753784"
"188","-12.847315818071365","-12.847315818071365","-12.847315818071365"
"189","-12.845684379339218","-12.845684379339218","-12.845684379339218"
"190","-12.842763841152191","-12.842763841152191","-12.842763841152191"
"191","-12.838532388210297","-12.838532388210297","-12.838532388210297"
"192","-12.849221408367157","-12.849221408367157","-12.849221408367157"
"193","-12.849090248346329","-12.849090248346329","-12.849090248346329"
"194","-12.841947495937347","-12.841947495937347","-12.841947495937347"
"195","-12.853205472230911","-12.853205472230911","-12.853205472230911"
"196","-12.847926646471024","-12.847926646471024","-12.847926646471024"
"197","-12.84182819724083","-12.84182819724083","-12.84182819724083"
"198","-12.849048614501953","-12.849048614501953","-12.849048614501953"
"199","-12.846591383218765","-12.846591383218765","-12.846591383218765"
"200","-12.846065938472748","-12.846065938472748","-12.846065938472748"
"201","-12.844863265752792","-12.844863265752792","-12.844863265752792"
"202","-12.853845477104187","-12.853845477104187","-12.853845477104187"
"203","-12.84903222322464","-12.84903222322464","-12.84903222322464"
"204","-12.84033465385437","-12.84033465385437","-12.84033465385437"
"205","-12.854407131671906","-12.854407131671906","-12.854407131671906"
"206","-12.850410163402557","-12.850410163402557","-12.850410163402557"
"207","-12.852732092142105","-12.852732092142105","-12.852732092142105"
"208","-12.843392491340637","-12.843392491340637","-12.843392491340637"
"209","-12.849716663360596","-12.849716663360596","-12.849716663360596"
"210","-12.854892790317535","-12.854892790317535","-12.854892790317535"
"211","-12.851352989673615","-12.851352989673615","-12.851352989673615"
"212","-12.856737226247787","-12.856737226247787","-12.856737226247787"
"213","-12.850502729415894","-12.850502729415894","-12.850502729415894"
"214","-12.86045354604721","-12.86045354604721","-12.86045354604721"
"215","-12.85587465763092","-12.85587465763092","-12.85587465763092"
"216","-12.855139374732971","-12.855139374732971","-12.855139374732971"
"217","-12.85860300064087","-12.85860300064087","-12.85860300064087"
"218","-12.862145125865936","-12.862145125865936","-12.862145125865936"
"219","-12.85985878109932","-12.85985878109932","-12.85985878109932"
"220","-12.858910590410233","-12.858910590410233","-12.858910590410233"
"221","-12.856931179761887","-12.856931179761887","-12.856931179761887"
"222","-12.863788604736328","-12.863788604736328","-12.863788604736328"
"223","-12.861586034297943","-12.861586034297943","-12.861586034297943"
"224","-12.863027900457382","-12.863027900457382","-12.863027900457382"
"225","-12.862644165754318","-12.862644165754318","-12.862644165754318"
"226","-12.864003390073776","-12.864003390073776","-12.864003390073776"
"227","-12.857737272977829","-12.857737272977829","-12.857737272977829"
"228","-12.865256011486053","-12.865256011486053","-12.865256011486053"
"229","-12.866199523210526","-12.866199523210526","-12.866199523210526"
"230","-12.861890465021133","-12.861890465021133","-12.861890465021133"
"231","-12.857605040073395","-12.857605040073395","-12.857605040073395"
"232","-12.854843318462372","-12.854843318462372","-12.854843318462372"
"233","-12.861266404390335","-12.861266404390335","-12.861266404390335"
"234","-12.862400740385056","-12.862400740385056","-12.862400740385056"
"235","-12.84816887974739","-12.84816887974739","-12.84816887974739"
"236","-12.859939634799957","-12.859939634799957","-12.859939634799957"
"237","-12.862889915704727","-12.862889915704727","-12.862889915704727"
"238","-12.855057030916214","-12.855057030916214","-12.855057030916214"
"239","-12.862084925174713","-12.862084925174713","-12.862084925174713"
"240","-12.86655929684639","-12.86655929684639","-12.86655929684639"
"241","-12.86073711514473","-12.86073711514473","-12.86073711514473"
"242","-12.870294600725174","-12.870294600725174","-12.870294600725174"
"243","-12.874977141618729","-12.874977141618729","-12.874977141618729"
"244","-12.864372074604034","-12.864372074604034","-12.864372074604034"
"245","-12.864398390054703","-12.864398390054703","-12.864398390054703"
"246","-12.864239186048508","-12.864239186048508","-12.864239186048508"
"247","-12.862413823604584","-12.862413823604584","-12.862413823604584"
"248","-12.867767870426178","-12.867767870426178","-12.867767870426178"
"249","-12.872802466154099","-12.872802466154099","-12.872802466154099"
"250","-12.86832320690155","-12.86832320690155","-12.86832320690155"
"251","-12.870943695306778","-12.870943695306778","-12.870943695306778"
"252","-12.873208492994308","-12.873208492994308","-12.873208492994308"
"253","-12.873978018760681","-12.873978018760681","-12.873978018760681"
"254","-12.88061347603798","-12.88061347603798","-12.88061347603798"
"255","-12.872148603200912","-12.872148603200912","-12.872148603200912"
"256","-12.876432657241821","-12.876432657241821","-12.876432657241821"
"257","-12.874649912118912","-12.874649912118912","-12.874649912118912"
"258","-12.882205843925476","-12.882205843925476","-12.882205843925476"
"259","-12.879463464021683","-12.879463464021683","-12.879463464021683"
"260","-12.879798293113708","-12.879798293113708","-12.879798293113708"
"261","-12.883072704076767","-12.883072704076767","-12.883072704076767"
"262","-12.874263793230057","-12.874263793230057","-12.874263793230057"
"263","-12.870982497930527","-12.870982497930527","-12.870982497930527"
"264","-12.881392151117325","-12.881392151117325","-12.881392151117325"
