"Step","unsupervised_test_lr:0.00025 - usvl_test/Loss/train","unsupervised_test_lr:0.00025 - usvl_test/Loss/train__MIN","unsupervised_test_lr:0.00025 - usvl_test/Loss/train__MAX","unsupervised_test_lr:1e-05 - usvl_test/Loss/train","unsupervised_test_lr:1e-05 - usvl_test/Loss/train__MIN","unsupervised_test_lr:1e-05 - usvl_test/Loss/train__MAX","unsupervised_test_lr:5e-05 - usvl_test/Loss/train","unsupervised_test_lr:5e-05 - usvl_test/Loss/train__MIN","unsupervised_test_lr:5e-05 - usvl_test/Loss/train__MAX","unsupervised_test_lr:0.0001 - usvl_test/Loss/train","unsupervised_test_lr:0.0001 - usvl_test/Loss/train__MIN","unsupervised_test_lr:0.0001 - usvl_test/Loss/train__MAX","unsupervised_test_lr:0.0005 - usvl_test/Loss/train","unsupervised_test_lr:0.0005 - usvl_test/Loss/train__MIN","unsupervised_test_lr:0.0005 - usvl_test/Loss/train__MAX"
"0","-12.491435875495275","-12.491435875495275","-12.491435875495275","-11.96283303697904","-11.96283303697904","-11.96283303697904","-12.42195662856102","-12.42195662856102","-12.42195662856102","-12.471571207046509","-12.471571207046509","-12.471571207046509","-12.444991201162338","-12.444991201162338","-12.444991201162338"
"1","-12.553486247857412","-12.553486247857412","-12.553486247857412","-12.37853972117106","-12.37853972117106","-12.37853972117106","-12.590961863597235","-12.590961863597235","-12.590961863597235","-12.6023557583491","-12.6023557583491","-12.6023557583491","-12.474860002597174","-12.474860002597174","-12.474860002597174"
"2","-12.555606812238693","-12.555606812238693","-12.555606812238693","-12.49656668305397","-12.49656668305397","-12.49656668305397","-12.606298834085464","-12.606298834085464","-12.606298834085464","-12.614803413550058","-12.614803413550058","-12.614803413550058","-12.547250340382258","-12.547250340382258","-12.547250340382258"
"3","-12.574998130400976","-12.574998130400976","-12.574998130400976","-12.546738862991333","-12.546738862991333","-12.546738862991333","-12.609025339285532","-12.609025339285532","-12.609025339285532","-12.612087657054266","-12.612087657054266","-12.612087657054266","-12.603551159302393","-12.603551159302393","-12.603551159302393"
"4","-12.597143232822418","-12.597143232822418","-12.597143232822418","-12.573364386955896","-12.573364386955896","-12.573364386955896","-12.621570855379105","-12.621570855379105","-12.621570855379105","-12.61725906531016","-12.61725906531016","-12.61725906531016","-12.640723139047623","-12.640723139047623","-12.640723139047623"
"5","-12.627927581469217","-12.627927581469217","-12.627927581469217","-12.590799043575922","-12.590799043575922","-12.590799043575922","-12.62285304069519","-12.62285304069519","-12.62285304069519","-12.621382107337316","-12.621382107337316","-12.621382107337316","-12.677798092365265","-12.677798092365265","-12.677798092365265"
"6","-12.641109983126322","-12.641109983126322","-12.641109983126322","-12.600142280260721","-12.600142280260721","-12.600142280260721","-12.626064548889795","-12.626064548889795","-12.626064548889795","-12.620704332987467","-12.620704332987467","-12.620704332987467","-12.685259948174158","-12.685259948174158","-12.685259948174158"
"7","-12.65898389617602","-12.65898389617602","-12.65898389617602","-12.610301494598389","-12.610301494598389","-12.610301494598389","-12.635489106178284","-12.635489106178284","-12.635489106178284","-12.635074396928152","-12.635074396928152","-12.635074396928152","-12.68749717871348","-12.68749717871348","-12.68749717871348"
"8","-12.661940773328146","-12.661940773328146","-12.661940773328146","-12.6157768368721","-12.6157768368721","-12.6157768368721","-12.640407840410868","-12.640407840410868","-12.640407840410868","-12.63597920536995","-12.63597920536995","-12.63597920536995","-12.701746215422949","-12.701746215422949","-12.701746215422949"
"9","-12.681300193071365","-12.681300193071365","-12.681300193071365","-12.621387104193369","-12.621387104193369","-12.621387104193369","-12.64411794145902","-12.64411794145902","-12.64411794145902","-12.643147359291712","-12.643147359291712","-12.643147359291712","-12.70092679063479","-12.70092679063479","-12.70092679063479"
